Order ID;Order Date;On Truck Scan Date;Ship Mode
US-2019-108504;5/2/2019;06/02/2019;Express
US-2019-108504;5/2/2019;06/02/2019;Express
US-2019-108504;5/2/2019;06/02/2019;Express
US-2019-108504;5/2/2019;06/02/2019;Express
US-2019-108504;5/2/2019;06/02/2019;Express
US-2019-108504;5/2/2019;06/02/2019;Express
US-2019-108504;5/2/2019;06/02/2019;Express
CA-2019-147970;31/1/2019;06/02/2019;Standard Processing
CA-2019-158043;31/1/2019;06/02/2019;Standard Processing
CA-2019-164483;30/1/2019;06/02/2019;Standard Processing
CA-2019-114944;30/1/2019;06/02/2019;Standard Processing
CA-2019-168032;30/1/2019;06/02/2019;Standard Processing
CA-2019-168032;30/1/2019;06/02/2019;Standard Processing
CA-2019-168032;30/1/2019;06/02/2019;Standard Processing
CA-2019-129238;31/1/2019;06/02/2019;Standard Processing
CA-2019-129238;31/1/2019;06/02/2019;Standard Processing
CA-2019-147431;2/2/2019;06/02/2019;Standard Processing
CA-2019-144645;2/2/2019;06/02/2019;Standard Processing
CA-2019-106894;7/2/2019;08/02/2019;Express
CA-2019-106894;7/2/2019;08/02/2019;Express
CA-2019-158841;2/2/2019;08/02/2019;Standard Processing
CA-2019-158841;2/2/2019;08/02/2019;Standard Processing
CA-2019-158841;2/2/2019;08/02/2019;Standard Processing
CA-2019-159891;31/1/2019;08/02/2019;Standard Processing
CA-2019-159891;31/1/2019;08/02/2019;Standard Processing
CA-2019-154067;1/2/2019;08/02/2019;Standard Processing
CA-2019-161662;7/2/2019;11/02/2019;Express
CA-2019-117912;4/2/2019;11/02/2019;Standard Processing
CA-2019-164938;11/2/2019;13/02/2019;Express
CA-2019-135461;7/2/2019;13/02/2019;Standard Processing
CA-2019-109344;8/2/2019;13/02/2019;Standard Processing
CA-2019-118514;3/2/2019;13/02/2019;Standard Processing
CA-2019-150077;4/2/2019;13/02/2019;Standard Processing
CA-2019-101189;4/2/2019;13/02/2019;Standard Processing
CA-2019-100993;5/2/2019;13/02/2019;Standard Processing
CA-2019-100993;5/2/2019;13/02/2019;Standard Processing
CA-2019-100993;5/2/2019;13/02/2019;Standard Processing
CA-2019-100993;5/2/2019;13/02/2019;Standard Processing
CA-2019-125017;6/2/2019;13/02/2019;Standard Processing
CA-2019-110492;12/2/2019;15/02/2019;Express
CA-2019-110492;12/2/2019;15/02/2019;Express
CA-2019-134334;14/2/2019;15/02/2019;Express
CA-2019-134334;14/2/2019;15/02/2019;Express
CA-2019-134334;14/2/2019;15/02/2019;Express
CA-2019-134334;14/2/2019;15/02/2019;Express
CA-2019-163048;8/2/2019;19/02/2019;Standard Processing
US-2019-112396;9/2/2019;19/02/2019;Standard Processing
US-2019-112396;9/2/2019;19/02/2019;Standard Processing
CA-2019-112942;13/2/2019;20/02/2019;Standard Processing
CA-2019-146150;14/2/2019;20/02/2019;Standard Processing
CA-2019-108105;16/2/2019;20/02/2019;Standard Processing
CA-2019-108105;16/2/2019;20/02/2019;Standard Processing
CA-2019-121447;21/2/2019;22/02/2019;Express
CA-2019-106460;19/2/2019;25/02/2019;Standard Processing
US-2019-162859;15/2/2019;25/02/2019;Standard Processing
US-2019-162859;15/2/2019;25/02/2019;Standard Processing
CA-2019-168956;16/2/2019;25/02/2019;Standard Processing
CA-2019-168956;16/2/2019;25/02/2019;Standard Processing
CA-2019-168956;16/2/2019;25/02/2019;Standard Processing
CA-2019-168956;16/2/2019;25/02/2019;Standard Processing
CA-2019-134138;16/2/2019;25/02/2019;Standard Processing
CA-2019-105781;16/2/2019;25/02/2019;Standard Processing
CA-2019-105781;16/2/2019;25/02/2019;Standard Processing
CA-2019-101630;19/2/2019;27/02/2019;Standard Processing
CA-2019-101630;19/2/2019;27/02/2019;Standard Processing
CA-2019-139010;21/2/2019;27/02/2019;Standard Processing
CA-2019-139010;21/2/2019;27/02/2019;Standard Processing
CA-2019-139010;21/2/2019;27/02/2019;Standard Processing
CA-2019-139010;21/2/2019;27/02/2019;Standard Processing
CA-2019-123274;19/2/2019;27/02/2019;Standard Processing
CA-2019-123274;19/2/2019;27/02/2019;Standard Processing
US-2019-168410;21/2/2019;27/02/2019;Standard Processing
US-2019-168410;21/2/2019;27/02/2019;Standard Processing
US-2019-168410;21/2/2019;27/02/2019;Standard Processing
US-2019-139262;21/2/2019;27/02/2019;Standard Processing
US-2019-139262;21/2/2019;27/02/2019;Standard Processing
US-2019-139262;21/2/2019;27/02/2019;Standard Processing
US-2019-143280;22/2/2019;27/02/2019;Standard Processing
US-2019-143280;22/2/2019;27/02/2019;Standard Processing
US-2019-143280;22/2/2019;27/02/2019;Standard Processing
CA-2019-102456;27/2/2019;01/03/2019;Express
CA-2019-165015;25/2/2019;01/03/2019;Standard Processing
CA-2019-166485;20/2/2019;01/03/2019;Standard Processing
CA-2019-119025;22/2/2019;01/03/2019;Standard Processing
CA-2019-120005;3/3/2019;04/03/2019;Express
CA-2019-120005;3/3/2019;04/03/2019;Express
CA-2019-101448;27/2/2019;04/03/2019;Standard Processing
CA-2019-144400;23/2/2019;04/03/2019;Standard Processing
CA-2019-128706;27/2/2019;06/03/2019;Standard Processing
CA-2019-111283;28/2/2019;06/03/2019;Standard Processing
US-2019-143819;1/3/2019;06/03/2019;Standard Processing
US-2019-143819;1/3/2019;06/03/2019;Standard Processing
US-2019-143819;1/3/2019;06/03/2019;Standard Processing
US-2019-143819;1/3/2019;06/03/2019;Standard Processing
CA-2019-116799;3/3/2019;08/03/2019;Express
CA-2019-116799;3/3/2019;08/03/2019;Express
CA-2019-106306;8/3/2019;08/03/2019;Express
CA-2019-101623;28/2/2019;08/03/2019;Standard Processing
CA-2019-122511;11/3/2019;11/03/2019;Express
CA-2019-122518;4/3/2019;11/03/2019;Standard Processing
US-2019-151862;1/3/2019;11/03/2019;Standard Processing
CA-2019-164637;4/3/2019;11/03/2019;Standard Processing
CA-2019-158358;4/3/2019;11/03/2019;Standard Processing
CA-2019-159016;10/3/2019;13/03/2019;Express
CA-2019-159016;10/3/2019;13/03/2019;Express
CA-2019-118255;11/3/2019;13/03/2019;Express
CA-2019-118255;11/3/2019;13/03/2019;Express
CA-2019-167759;3/3/2019;13/03/2019;Standard Processing
CA-2019-112123;3/3/2019;13/03/2019;Standard Processing
CA-2019-112123;3/3/2019;13/03/2019;Standard Processing
CA-2019-112123;3/3/2019;13/03/2019;Standard Processing
CA-2019-145730;3/3/2019;13/03/2019;Standard Processing
CA-2019-145730;3/3/2019;13/03/2019;Standard Processing
CA-2019-145730;3/3/2019;13/03/2019;Standard Processing
CA-2019-103982;3/3/2019;13/03/2019;Standard Processing
CA-2019-103982;3/3/2019;13/03/2019;Standard Processing
CA-2019-103982;3/3/2019;13/03/2019;Standard Processing
CA-2019-103982;3/3/2019;13/03/2019;Standard Processing
CA-2019-154053;4/3/2019;13/03/2019;Standard Processing
CA-2019-165218;5/3/2019;13/03/2019;Standard Processing
CA-2019-165218;5/3/2019;13/03/2019;Standard Processing
US-2019-155173;6/3/2019;13/03/2019;Standard Processing
US-2019-155173;6/3/2019;13/03/2019;Standard Processing
US-2019-155173;6/3/2019;13/03/2019;Standard Processing
CA-2019-110898;6/3/2019;13/03/2019;Standard Processing
CA-2019-110898;6/3/2019;13/03/2019;Standard Processing
CA-2019-110898;6/3/2019;13/03/2019;Standard Processing
CA-2019-110898;6/3/2019;13/03/2019;Standard Processing
US-2019-137547;7/3/2019;13/03/2019;Standard Processing
CA-2019-111976;8/3/2019;13/03/2019;Standard Processing
CA-2019-111976;8/3/2019;13/03/2019;Standard Processing
CA-2019-137337;8/3/2019;13/03/2019;Standard Processing
CA-2019-137337;8/3/2019;13/03/2019;Standard Processing
CA-2019-137337;8/3/2019;13/03/2019;Standard Processing
CA-2019-130400;8/3/2019;13/03/2019;Standard Processing
CA-2019-130400;8/3/2019;13/03/2019;Standard Processing
CA-2019-130400;8/3/2019;13/03/2019;Standard Processing
CA-2019-153269;9/3/2019;15/03/2019;Express
CA-2019-153269;9/3/2019;15/03/2019;Express
CA-2019-153269;9/3/2019;15/03/2019;Express
CA-2019-153269;9/3/2019;15/03/2019;Express
CA-2019-169663;10/3/2019;15/03/2019;Express
CA-2019-169663;10/3/2019;15/03/2019;Express
CA-2019-169103;8/3/2019;15/03/2019;Standard Processing
CA-2019-169103;8/3/2019;15/03/2019;Standard Processing
US-2019-140172;8/3/2019;15/03/2019;Standard Processing
US-2019-140172;8/3/2019;15/03/2019;Standard Processing
CA-2019-158834;13/3/2019;18/03/2019;Express
CA-2019-158834;13/3/2019;18/03/2019;Express
CA-2019-162082;14/3/2019;18/03/2019;Express
CA-2019-162082;14/3/2019;18/03/2019;Express
CA-2019-162082;14/3/2019;18/03/2019;Express
CA-2019-124793;14/3/2019;18/03/2019;Express
CA-2019-138968;15/3/2019;18/03/2019;Express
CA-2019-138968;15/3/2019;18/03/2019;Express
CA-2019-115476;17/3/2019;18/03/2019;Express
CA-2019-115476;17/3/2019;18/03/2019;Express
CA-2019-131737;17/3/2019;18/03/2019;Express
CA-2019-131737;17/3/2019;18/03/2019;Express
CA-2019-131737;17/3/2019;18/03/2019;Express
CA-2019-108959;10/3/2019;18/03/2019;Standard Processing
CA-2019-127138;12/3/2019;18/03/2019;Standard Processing
CA-2019-127138;12/3/2019;18/03/2019;Standard Processing
CA-2019-127138;12/3/2019;18/03/2019;Standard Processing
CA-2019-127138;12/3/2019;18/03/2019;Standard Processing
CA-2019-136301;13/3/2019;18/03/2019;Standard Processing
CA-2019-136301;13/3/2019;18/03/2019;Standard Processing
US-2019-114013;13/3/2019;18/03/2019;Standard Processing
US-2019-114013;13/3/2019;18/03/2019;Standard Processing
US-2019-114013;13/3/2019;18/03/2019;Standard Processing
US-2019-114013;13/3/2019;18/03/2019;Standard Processing
US-2019-114013;13/3/2019;18/03/2019;Standard Processing
US-2019-114013;13/3/2019;18/03/2019;Standard Processing
US-2019-114013;13/3/2019;18/03/2019;Standard Processing
US-2019-114013;13/3/2019;18/03/2019;Standard Processing
US-2019-114013;13/3/2019;18/03/2019;Standard Processing
CA-2019-120803;9/3/2019;18/03/2019;Standard Processing
US-2019-122182;10/3/2019;18/03/2019;Standard Processing
US-2019-128902;11/3/2019;18/03/2019;Standard Processing
CA-2019-146171;11/3/2019;18/03/2019;Standard Processing
CA-2019-146171;11/3/2019;18/03/2019;Standard Processing
CA-2019-119683;12/3/2019;20/03/2019;Standard Processing
US-2019-112977;10/3/2019;20/03/2019;Standard Processing
CA-2019-115504;12/3/2019;20/03/2019;Standard Processing
US-2019-119270;12/3/2019;20/03/2019;Standard Processing
CA-2019-159373;13/3/2019;20/03/2019;Standard Processing
CA-2019-159373;13/3/2019;20/03/2019;Standard Processing
CA-2019-159373;13/3/2019;20/03/2019;Standard Processing
US-2019-108637;13/3/2019;20/03/2019;Standard Processing
US-2019-108637;13/3/2019;20/03/2019;Standard Processing
US-2019-108637;13/3/2019;20/03/2019;Standard Processing
CA-2019-119123;13/3/2019;20/03/2019;Standard Processing
US-2019-154361;14/3/2019;20/03/2019;Standard Processing
CA-2019-102134;14/3/2019;20/03/2019;Standard Processing
US-2019-113509;15/3/2019;20/03/2019;Standard Processing
CA-2019-140571;15/3/2019;20/03/2019;Standard Processing
CA-2019-140571;15/3/2019;20/03/2019;Standard Processing
CA-2019-149272;15/3/2019;20/03/2019;Standard Processing
CA-2019-149272;15/3/2019;20/03/2019;Standard Processing
CA-2019-118899;22/3/2019;22/03/2019;Express
CA-2019-134544;17/3/2019;22/03/2019;Standard Processing
US-2019-120929;18/3/2019;22/03/2019;Standard Processing
CA-2019-113292;18/3/2019;22/03/2019;Standard Processing
CA-2019-106383;19/3/2019;22/03/2019;Standard Processing
CA-2019-136371;19/3/2019;22/03/2019;Standard Processing
CA-2019-136371;19/3/2019;22/03/2019;Standard Processing
CA-2019-133802;14/3/2019;22/03/2019;Standard Processing
CA-2019-107615;22/3/2019;25/03/2019;Express
CA-2019-134887;25/3/2019;25/03/2019;Express
CA-2019-150889;20/3/2019;25/03/2019;Standard Processing
CA-2019-113803;24/3/2019;27/03/2019;Express
US-2019-162677;26/3/2019;27/03/2019;Express
US-2019-162677;26/3/2019;27/03/2019;Express
CA-2019-162747;20/3/2019;27/03/2019;Standard Processing
CA-2019-128111;17/3/2019;27/03/2019;Standard Processing
CA-2019-118178;19/3/2019;27/03/2019;Standard Processing
US-2019-156986;20/3/2019;27/03/2019;Standard Processing
US-2019-156986;20/3/2019;27/03/2019;Standard Processing
US-2019-156986;20/3/2019;27/03/2019;Standard Processing
US-2019-156986;20/3/2019;27/03/2019;Standard Processing
CA-2019-127670;20/3/2019;27/03/2019;Standard Processing
CA-2019-163153;21/3/2019;27/03/2019;Standard Processing
CA-2019-163153;21/3/2019;27/03/2019;Standard Processing
CA-2019-130911;24/3/2019;29/03/2019;Standard Processing
CA-2019-130911;24/3/2019;29/03/2019;Standard Processing
CA-2019-120082;25/3/2019;29/03/2019;Standard Processing
CA-2019-161361;26/3/2019;29/03/2019;Standard Processing
CA-2019-161361;26/3/2019;29/03/2019;Standard Processing
US-2019-133879;21/3/2019;29/03/2019;Standard Processing
US-2019-133879;21/3/2019;29/03/2019;Standard Processing
US-2019-133879;21/3/2019;29/03/2019;Standard Processing
CA-2019-162901;28/3/2019;01/04/2019;Express
US-2019-164189;24/3/2019;01/04/2019;Standard Processing
CA-2019-128258;30/3/2019;03/04/2019;Express
CA-2019-162222;3/4/2019;03/04/2019;Express
CA-2019-131380;28/3/2019;03/04/2019;Standard Processing
CA-2019-131380;28/3/2019;03/04/2019;Standard Processing
CA-2019-152555;29/3/2019;03/04/2019;Standard Processing
CA-2019-152555;29/3/2019;03/04/2019;Standard Processing
CA-2019-152555;29/3/2019;03/04/2019;Standard Processing
CA-2019-123666;26/3/2019;03/04/2019;Standard Processing
CA-2019-119074;27/3/2019;03/04/2019;Standard Processing
CA-2019-119074;27/3/2019;03/04/2019;Standard Processing
CA-2019-119074;27/3/2019;03/04/2019;Standard Processing
CA-2019-167556;29/3/2019;03/04/2019;Standard Processing
CA-2019-167556;29/3/2019;03/04/2019;Standard Processing
CA-2019-167556;29/3/2019;03/04/2019;Standard Processing
CA-2019-167556;29/3/2019;03/04/2019;Standard Processing
CA-2019-127236;29/3/2019;03/04/2019;Standard Processing
CA-2019-127236;29/3/2019;03/04/2019;Standard Processing
CA-2019-159142;4/4/2019;05/04/2019;Express
CA-2019-159142;4/4/2019;05/04/2019;Express
US-2019-151827;31/3/2019;05/04/2019;Standard Processing
US-2019-151827;31/3/2019;05/04/2019;Standard Processing
CA-2019-166674;1/4/2019;05/04/2019;Standard Processing
CA-2019-166674;1/4/2019;05/04/2019;Standard Processing
CA-2019-166674;1/4/2019;05/04/2019;Standard Processing
CA-2019-166674;1/4/2019;05/04/2019;Standard Processing
CA-2019-166674;1/4/2019;05/04/2019;Standard Processing
CA-2019-166674;1/4/2019;05/04/2019;Standard Processing
CA-2019-127985;1/4/2019;08/04/2019;Standard Processing
CA-2019-161473;1/4/2019;08/04/2019;Standard Processing
CA-2019-161473;1/4/2019;08/04/2019;Standard Processing
CA-2019-161473;1/4/2019;08/04/2019;Standard Processing
CA-2019-111213;1/4/2019;08/04/2019;Standard Processing
CA-2019-111213;1/4/2019;08/04/2019;Standard Processing
CA-2019-111213;1/4/2019;08/04/2019;Standard Processing
CA-2019-110499;7/4/2019;10/04/2019;Express
CA-2019-154998;7/4/2019;10/04/2019;Express
CA-2019-123540;2/4/2019;10/04/2019;Standard Processing
CA-2019-123050;4/4/2019;10/04/2019;Standard Processing
CA-2019-123050;4/4/2019;10/04/2019;Standard Processing
CA-2019-123050;4/4/2019;10/04/2019;Standard Processing
CA-2019-124100;31/3/2019;10/04/2019;Standard Processing
CA-2019-103947;1/4/2019;10/04/2019;Standard Processing
CA-2019-103947;1/4/2019;10/04/2019;Standard Processing
CA-2019-149902;1/4/2019;10/04/2019;Standard Processing
US-2019-160206;1/4/2019;10/04/2019;Standard Processing
CA-2019-120796;3/4/2019;10/04/2019;Standard Processing
CA-2019-167682;3/4/2019;10/04/2019;Standard Processing
CA-2019-167682;3/4/2019;10/04/2019;Standard Processing
CA-2019-167115;4/4/2019;10/04/2019;Standard Processing
CA-2019-161907;5/4/2019;10/04/2019;Standard Processing
CA-2019-161907;5/4/2019;10/04/2019;Standard Processing
US-2019-106600;8/4/2019;12/04/2019;Express
US-2019-114622;10/4/2019;12/04/2019;Express
CA-2019-159695;5/4/2019;12/04/2019;Standard Processing
CA-2019-163594;12/4/2019;15/04/2019;Express
CA-2019-163594;12/4/2019;15/04/2019;Express
CA-2019-163594;12/4/2019;15/04/2019;Express
CA-2019-112669;14/4/2019;15/04/2019;Express
CA-2019-112669;14/4/2019;15/04/2019;Express
US-2019-150140;6/4/2019;15/04/2019;Standard Processing
CA-2019-132899;7/4/2019;15/04/2019;Standard Processing
CA-2019-130477;8/4/2019;15/04/2019;Standard Processing
CA-2019-130477;8/4/2019;15/04/2019;Standard Processing
CA-2019-130477;8/4/2019;15/04/2019;Standard Processing
CA-2019-130946;8/4/2019;15/04/2019;Standard Processing
CA-2019-130946;8/4/2019;15/04/2019;Standard Processing
CA-2019-130946;8/4/2019;15/04/2019;Standard Processing
CA-2019-152800;13/4/2019;17/04/2019;Express
CA-2019-128517;9/4/2019;17/04/2019;Standard Processing
CA-2019-128517;9/4/2019;17/04/2019;Standard Processing
CA-2019-120530;7/4/2019;17/04/2019;Standard Processing
CA-2019-114405;7/4/2019;17/04/2019;Standard Processing
CA-2019-114405;7/4/2019;17/04/2019;Standard Processing
CA-2019-138520;8/4/2019;17/04/2019;Standard Processing
CA-2019-138520;8/4/2019;17/04/2019;Standard Processing
CA-2019-138520;8/4/2019;17/04/2019;Standard Processing
CA-2019-138520;8/4/2019;17/04/2019;Standard Processing
CA-2019-104969;8/4/2019;17/04/2019;Standard Processing
CA-2019-104969;8/4/2019;17/04/2019;Standard Processing
CA-2019-124233;8/4/2019;17/04/2019;Standard Processing
CA-2019-150000;8/4/2019;17/04/2019;Standard Processing
CA-2019-134789;8/4/2019;17/04/2019;Standard Processing
CA-2019-134789;8/4/2019;17/04/2019;Standard Processing
CA-2019-134789;8/4/2019;17/04/2019;Standard Processing
CA-2019-126809;9/4/2019;17/04/2019;Standard Processing
CA-2019-117681;9/4/2019;17/04/2019;Standard Processing
CA-2019-124814;10/4/2019;17/04/2019;Standard Processing
CA-2019-124814;10/4/2019;17/04/2019;Standard Processing
CA-2019-109652;10/4/2019;17/04/2019;Standard Processing
CA-2019-112102;12/4/2019;17/04/2019;Standard Processing
CA-2019-112102;12/4/2019;17/04/2019;Standard Processing
CA-2019-112102;12/4/2019;17/04/2019;Standard Processing
CA-2019-142398;12/4/2019;17/04/2019;Standard Processing
CA-2019-142398;12/4/2019;17/04/2019;Standard Processing
CA-2019-166625;14/4/2019;19/04/2019;Express
CA-2019-136406;15/4/2019;19/04/2019;Standard Processing
CA-2019-117849;15/4/2019;19/04/2019;Standard Processing
CA-2019-105473;16/4/2019;19/04/2019;Standard Processing
CA-2019-123358;10/4/2019;19/04/2019;Standard Processing
CA-2019-123358;10/4/2019;19/04/2019;Standard Processing
CA-2019-123358;10/4/2019;19/04/2019;Standard Processing
CA-2019-123358;10/4/2019;19/04/2019;Standard Processing
CA-2019-124254;12/4/2019;19/04/2019;Standard Processing
CA-2019-124254;12/4/2019;19/04/2019;Standard Processing
CA-2019-124254;12/4/2019;19/04/2019;Standard Processing
CA-2019-146423;21/4/2019;22/04/2019;Express
CA-2019-146423;21/4/2019;22/04/2019;Express
CA-2019-148796;14/4/2019;22/04/2019;Standard Processing
US-2019-132423;15/4/2019;22/04/2019;Standard Processing
US-2019-132423;15/4/2019;22/04/2019;Standard Processing
CA-2019-164735;14/4/2019;24/04/2019;Standard Processing
CA-2019-149111;17/4/2019;24/04/2019;Standard Processing
CA-2019-149111;17/4/2019;24/04/2019;Standard Processing
US-2019-123750;15/4/2019;24/04/2019;Standard Processing
US-2019-123750;15/4/2019;24/04/2019;Standard Processing
US-2019-123750;15/4/2019;24/04/2019;Standard Processing
US-2019-123750;15/4/2019;24/04/2019;Standard Processing
US-2019-164588;16/4/2019;24/04/2019;Standard Processing
US-2019-107440;16/4/2019;24/04/2019;Standard Processing
US-2019-107440;16/4/2019;24/04/2019;Standard Processing
US-2019-107440;16/4/2019;24/04/2019;Standard Processing
CA-2019-166282;16/4/2019;24/04/2019;Standard Processing
CA-2019-166282;16/4/2019;24/04/2019;Standard Processing
US-2019-133508;17/4/2019;24/04/2019;Standard Processing
CA-2019-108735;17/4/2019;24/04/2019;Standard Processing
US-2019-159415;17/4/2019;24/04/2019;Standard Processing
CA-2019-155551;18/4/2019;24/04/2019;Standard Processing
CA-2019-155551;18/4/2019;24/04/2019;Standard Processing
CA-2019-139381;18/4/2019;24/04/2019;Standard Processing
CA-2019-139381;18/4/2019;24/04/2019;Standard Processing
CA-2019-125087;18/4/2019;24/04/2019;Standard Processing
CA-2019-125087;18/4/2019;24/04/2019;Standard Processing
CA-2019-125087;18/4/2019;24/04/2019;Standard Processing
CA-2019-144785;18/4/2019;24/04/2019;Standard Processing
CA-2019-144785;18/4/2019;24/04/2019;Standard Processing
CA-2019-151498;21/4/2019;26/04/2019;Express
CA-2019-124149;23/4/2019;26/04/2019;Express
CA-2019-124149;23/4/2019;26/04/2019;Express
CA-2019-124149;23/4/2019;26/04/2019;Express
US-2019-115819;19/4/2019;26/04/2019;Standard Processing
US-2019-115819;19/4/2019;26/04/2019;Standard Processing
US-2019-115819;19/4/2019;26/04/2019;Standard Processing
US-2019-115819;19/4/2019;26/04/2019;Standard Processing
US-2019-115819;19/4/2019;26/04/2019;Standard Processing
US-2019-115819;19/4/2019;26/04/2019;Standard Processing
US-2019-161396;19/4/2019;26/04/2019;Standard Processing
US-2019-161396;19/4/2019;26/04/2019;Standard Processing
CA-2019-138933;24/4/2019;29/04/2019;Express
CA-2019-147578;22/4/2019;29/04/2019;Standard Processing
CA-2019-109666;19/4/2019;29/04/2019;Standard Processing
CA-2019-109666;19/4/2019;29/04/2019;Standard Processing
CA-2019-109666;19/4/2019;29/04/2019;Standard Processing
CA-2019-109666;19/4/2019;29/04/2019;Standard Processing
CA-2019-109666;19/4/2019;29/04/2019;Standard Processing
CA-2019-109666;19/4/2019;29/04/2019;Standard Processing
CA-2019-109666;19/4/2019;29/04/2019;Standard Processing
CA-2019-113061;22/4/2019;29/04/2019;Standard Processing
CA-2019-168081;24/4/2019;01/05/2019;Standard Processing
US-2019-150147;25/4/2019;01/05/2019;Standard Processing
US-2019-150147;25/4/2019;01/05/2019;Standard Processing
US-2019-150147;25/4/2019;01/05/2019;Standard Processing
US-2019-103646;21/4/2019;01/05/2019;Standard Processing
US-2019-103646;21/4/2019;01/05/2019;Standard Processing
US-2019-103646;21/4/2019;01/05/2019;Standard Processing
